sample_id,record_id,surface_group_id,source_group_id,v4_split,target_liquid_id,n_probes,n_unique_liquids,fit_status,boundary_fit,nnls_dispersion_mj_m2,nnls_polar_mj_m2,nnls_total_mj_m2,nnls_residual_norm,legacy_sqrt_dispersion,legacy_sqrt_polar,legacy_squared_dispersion_mj_m2,legacy_squared_polar_mj_m2,legacy_negative_coefficient,target_contact_angle_deg,nnls_physical_prediction_deg,legacy_squared_physical_prediction_deg
PA_MEA_40978EEFA8B2,REC_EDD3C9494299,SFC_750CEF900F32,SRC018,internal_test,LIQ_6656B41AB7,3,3,boundary_fit,yes,6.472477293194163,0.0,6.472477293194163,7.102839338346245,2.9716397113411976,-0.42621848687028197,8.830642574019997,0.18166219854999271,yes,118.5,106.62500276904024,99.56333731678679
PA_MEA_E25E179C33CC,REC_11EE1691E57B,SFC_7F45928FEC29,SRC018,internal_test,LIQ_0F4168490E,3,3,interior_fit,no,0.13569283629116694,0.39632896088091013,0.5320217971720771,2.6192042436138947,0.3683650856028117,0.629546631220365,0.13569283629116682,0.3963289608809103,no,158.6,146.02043085322416,146.02043085322416
PA_MEA_2982E142A921,REC_E2A79D16652C,SFC_7F45928FEC29,SRC018,internal_test,LIQ_5C0DC0DCD1,3,3,interior_fit,no,0.14845138866345112,0.01285077595077795,0.16130216461422905,0.19848590615108544,0.38529389907374706,0.11336126300804004,0.14845138866345078,0.012850775950778028,no,140.7,155.18854870162184,155.18854870162184
PA_MEA_435D8FA18713,REC_4B3DE70C985D,SFC_7F45928FEC29,SRC018,internal_test,LIQ_53310FAFB3,3,3,interior_fit,no,0.2672317291664659,0.07619414104061854,0.3434258702070845,3.361980025273067,0.5169446093794443,0.2760328622476288,0.26723172916646626,0.07619414104061842,no,152.4,146.49874134688608,146.49874134688608
PA_MEA_34F596C94FC4,REC_43B022298DD4,SFC_7F45928FEC29,SRC018,internal_test,LIQ_6656B41AB7,3,3,boundary_fit,yes,0.6362466229078889,0.0,0.6362466229078889,3.048414255892948,1.2441858363811158,-0.4451618677527625,1.5479983954513767,0.19816908850112802,yes,153.4,140.91157659099156,130.60745738138215
PA_MEA_0887FC3FD803,REC_D07C4BB81E74,SFC_989A2292E56A,SRC018,internal_test,LIQ_0F4168490E,3,3,interior_fit,no,2.9712510471380034,0.18533253032529137,3.156583577463295,4.505773621906982,1.72373172133543,0.4305026484532811,2.9712510471380043,0.18533253032528935,no,125.2,133.98216232458537,133.9821623245854
PA_MEA_DD1C3EF3C513,REC_F728FF018F7A,SFC_989A2292E56A,SRC018,internal_test,LIQ_5C0DC0DCD1,3,3,interior_fit,no,2.359335301343487,0.6515422105247038,3.0108775118681907,4.978212322552745,1.5360127933528038,0.8071816465484737,2.3593353013434832,0.6515422105247051,no,120.5,125.0597102526966,125.0597102526966
PA_MEA_B35409464A78,REC_8E3DB6D53856,SFC_989A2292E56A,SRC018,internal_test,LIQ_53310FAFB3,3,3,interior_fit,no,2.999543481054288,1.027026086565964,4.0265695676202515,0.16881234915787058,1.731919016886843,1.0134229554169205,2.999543481054289,1.0270260865659657,no,132.7,115.29824055295599,115.29824055295599
PA_MEA_05A05C3E4596,REC_3FFBC36EAC91,SFC_989A2292E56A,SRC018,internal_test,LIQ_6656B41AB7,3,3,interior_fit,no,0.2836175401269706,3.3744083223140118,3.6580258624409825,4.308864214890695,0.5325575463055362,1.8369562657597491,0.2836175401269733,3.374408322314002,no,120.8,148.27271199305216,148.27271199305213
PA_MEA_D084E7BE258F,REC_908F2BDD1D1B,SFC_3480038F8EFE,SRC018,internal_test,LIQ_0F4168490E,3,3,interior_fit,no,5.871881247796451,0.15154506989575645,6.023426317692207,2.8832160323071583,2.4231964938478394,0.38928790103951816,5.871881247796462,0.15154506989575367,no,120.7,127.79221774199627,127.79221774199628
PA_MEA_F99225720EDB,REC_166554F9D700,SFC_3480038F8EFE,SRC018,internal_test,LIQ_5C0DC0DCD1,3,3,interior_fit,no,5.213420628241019,0.5560849841641455,5.769505612405165,3.67089566887344,2.283291621374943,0.7457110594353198,5.213420628241015,0.5560849841641471,no,114.4,116.16779609551782,116.16779609551782
PA_MEA_8A1B3BE7D5E5,REC_21908B8DD026,SFC_3480038F8EFE,SRC018,internal_test,LIQ_53310FAFB3,3,3,interior_fit,no,5.788169664927996,0.758585724825994,6.54675538975399,0.6511195440342643,2.4058615223923416,0.8709682685528767,5.788169664927996,0.758585724825996,no,118.5,107.5767069681915,107.57670696819149
PA_MEA_43D9A88DC413,REC_C3D75AAACE0D,SFC_3480038F8EFE,SRC018,internal_test,LIQ_6656B41AB7,3,3,interior_fit,no,2.0017150925506426,2.51628454281959,4.5179996353702325,2.7149234393860855,1.4148198092162265,1.5862800959539247,2.0017150925506395,2.5162845428195926,no,108.5,127.08448488213158,127.08448488213163
PA_MEA_6E656DBCF040,REC_3270E5A7395A,SFC_33502EC79F24,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,27.65382844120729,2.1996241030217107,29.853452544229,0.0,5.258690753524804,1.4831129771604419,27.65382844120727,2.1996241030217094,no,87.6,91.97643597755167,91.97643597755169
PA_MEA_935E36E504F1,REC_65153F8A6596,SFC_21ED5CFE6366,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,28.632588071325237,1.409523222863954,30.04211129418919,0.0,5.350942727344894,1.187233432339217,28.632588071325216,1.4095232228639583,no,90.6,94.62907807802638,94.62907807802637
PA_MEA_9D5BC323263F,REC_4BC5D63C6B07,SFC_2CBEAAA7843B,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,31.218301913057104,0.001405127420839418,31.219707040477942,0.0,5.587334061344201,0.03748502928956253,31.218301913057086,0.0014051274208393607,no,98.2,106.01896011266604,106.01896011266606
PA_MEA_1AC5A36A0CEE,REC_283E6A0CFA0B,SFC_D900D5201DB3,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,27.13620440534071,0.24533722867437047,27.38154163401508,0.0,5.209242210277873,0.4953152820924975,27.1362044053407,0.24533722867437036,no,97.8,103.56983393263133,103.56983393263133
PA_MEA_188F249305A6,REC_BDDA1E451473,SFC_C44A751DCE9E,SRC019,train,LIQ_0F4168490E,2,2,interior_fit,no,32.13133515128077,0.18590927244584116,32.31724442372661,0.0,5.668450859915853,0.4311719754875548,32.13133515128077,0.18590927244584057,no,97.6,100.85428415692063,100.85428415692063
PA_MEA_5F09B2CFC105,REC_6E7E31F1CD96,SFC_33502EC79F24,SRC019,train,LIQ_6656B41AB7,2,2,interior_fit,no,21.063533246447008,5.335434438346011,26.39896768479302,0.0,4.589502505331819,2.3098559345435357,21.06353324644704,5.335434438345991,no,61.6,73.2709893550621,73.27098935506206
PA_MEA_B0C1018D15F3,REC_28C2E07BF455,SFC_21ED5CFE6366,SRC019,train,LIQ_6656B41AB7,2,2,interior_fit,no,22.4247924337795,3.793141209056991,26.217933642836492,0.0,4.735482281012092,1.947598831653221,22.424792433779487,3.793141209056991,no,59.9,70.8035355601557,70.80353556015574
PA_MEA_3B5A81D4DA3D,REC_228C9B144575,SFC_2CBEAAA7843B,SRC019,train,LIQ_6656B41AB7,2,2,interior_fit,no,19.527362199187042,2.1931277392589834,21.720489938446025,0.0,4.418977506073893,1.480921246811923,19.527362199187042,2.1931277392589807,no,55.4,76.11375534288884,76.11375534288884
