evaluation,novelty_stratum,model,sources,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg
internal_test,known_material_known_target_liquid,nnls_physics,2,24,12.595160583333332,14.492487872190997,0.4443063388652688,12.533995000000004,20.334594999999993
internal_test,known_material_known_target_liquid,physics_residual_xgboost,2,24,19.016097014894086,22.395272767166002,-0.3269735437584693,15.57631960213184,32.94257101058959
internal_test,known_material_known_target_liquid,physics_residual_random_forest,2,24,14.439481469611826,17.368742227922407,0.201846741314203,13.322893411781706,26.665694064675943
internal_test,known_material_known_target_liquid,direct_xgboost,2,24,20.33879782358805,24.913289769806045,-0.6421457864998714,16.53076629638671,44.48478652954101
internal_test,known_material_known_target_liquid,ls_psrmoe_fusion,2,24,14.93905368290612,17.176254946181274,0.21943961370559295,14.75010122394324,26.321465780292034
internal_test,new_material_family,nnls_physics,2,22,43.326775772727274,53.75840210764034,-0.12238957207914214,35.1968225,90.29491140000002
internal_test,new_material_family,physics_residual_xgboost,2,22,27.198199976438822,33.044193278953955,0.5759264091450468,21.326786518096924,55.47487297058107
internal_test,new_material_family,physics_residual_random_forest,2,22,32.26868120084039,38.58497274725108,0.42178771341315113,27.94453209190177,61.86554430034206
internal_test,new_material_family,direct_xgboost,2,22,34.05636754469438,43.58674217924061,0.26216417302779127,27.87039108276367,71.95674316406252
internal_test,new_material_family,ls_psrmoe_fusion,2,22,32.14338318252303,38.36953343763069,0.42822658738249875,25.532600969295924,62.30459265799326
internal_test,new_material_family_and_target_liquid,nnls_physics,1,4,1.7181150000000045,1.8325414927089714,-0.3432833290000099,1.7368600000000072,2.3817160000000115
internal_test,new_material_family_and_target_liquid,physics_residual_xgboost,1,4,60.28491134643555,60.3278095218172,-1454.7778406802634,59.577096176147464,62.88637382507325
internal_test,new_material_family_and_target_liquid,physics_residual_random_forest,1,4,27.394527072454864,27.490772989728153,-301.2970398291068,26.998498370608175,29.990609505165395
internal_test,new_material_family_and_target_liquid,direct_xgboost,1,4,71.47856063842774,71.49938456393721,-2043.8647972087128,71.40046997070313,73.35748428344728
internal_test,new_material_family_and_target_liquid,ls_psrmoe_fusion,1,4,40.55696096824847,40.60321810757904,-658.4485282766536,39.75642858191732,42.69800578310973
legacy_external,known_material_known_target_liquid,nnls_physics,2,23,16.93003347826087,22.21601584551087,0.040417524826234064,15.166390000000007,35.57347260000001
legacy_external,known_material_known_target_liquid,physics_residual_xgboost,2,23,8.545673771785653,12.489646255576,0.6967154891315307,6.157325363159181,22.350594253540045
legacy_external,known_material_known_target_liquid,physics_residual_random_forest,2,23,10.304912326894168,15.61404385405462,0.5259973775285349,4.3824951393436535,28.39976400645555
