held_out_liquid,status,model,n_training_samples,n_training_sources,n_test_samples,n_test_sources,sources,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg
water,infeasible_after_strict_target_and_probe_exclusion,not_fitted,0.0,0.0,68.0,8.0,,,,,,,
diiodomethane,evaluated,nnls_physics,,,,,7.0,65.0,24.69930104475755,29.90080697911522,-0.6209366428715422,19.850223541259766,48.836629486083986
diiodomethane,evaluated,physics_residual_xgboost,,,,,7.0,65.0,33.13740625821627,37.94600087834777,-1.6105513842480863,30.019726562499997,60.01649475097656
ethylene glycol,evaluated,nnls_physics,,,,,6.0,54.0,13.502098383726898,22.06575000284366,0.3790264488404176,7.417476654052734,25.745117187500004
ethylene glycol,evaluated,physics_residual_xgboost,,,,,6.0,54.0,23.582277960578594,28.49104699109835,-0.035267389118610604,16.911318969726562,46.595353240966794
formamide,evaluated,nnls_physics,,,,,4.0,28.0,11.47700548171997,13.458184182808424,0.8442638617652252,11.284922122955322,20.871332931518555
formamide,evaluated,physics_residual_xgboost,,,,,4.0,28.0,7.843374647625855,9.625712766593256,0.9203323031003605,7.31632610857487,13.042391653060918
