evaluation,model,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg,fraction_abs_error_le_10_deg,fraction_abs_error_le_20_deg
internal_test,nnls_physics,50,25.246907619999998,37.04954879195507,0.49950236510626667,15.459339999999997,79.9532415,0.32,0.58
internal_test,physics_residual_xgboost,50,25.917727464497087,31.81733735887782,0.6308831690395806,20.391194462776184,58.13904319763185,0.2,0.48
internal_test,physics_residual_random_forest,50,23.320732999579842,29.331460938093695,0.6863079064993474,21.28100721240839,47.2058711505665,0.24,0.48
internal_test,direct_xgboost,50,30.46570952606201,39.27861153538448,0.437466438830853,24.551560211181645,70.46126708984376,0.24,0.44
internal_test,ls_psrmoe_fusion,50,24.558391245564952,30.352567935865938,0.6640868058109607,20.463286189645686,44.27871269820386,0.2,0.46
legacy_external,nnls_physics,23,16.93003347826087,22.21601584551087,0.040417524826234064,15.166390000000007,35.57347260000001,0.34782608695652173,0.6956521739130435
legacy_external,physics_residual_xgboost,23,8.545673771785653,12.489646255576,0.6967154891315307,6.157325363159181,22.350594253540045,0.7391304347826086,0.8695652173913043
legacy_external,physics_residual_random_forest,23,10.304912326894168,15.61404385405462,0.5259973775285349,4.3824951393436535,28.39976400645555,0.6956521739130435,0.782608695652174
legacy_external,direct_xgboost,23,10.812407883353854,16.358192180706435,0.47973984372692347,4.938434600830078,34.9515885925293,0.6956521739130435,0.8260869565217391
legacy_external,ls_psrmoe_fusion,23,9.508517860077236,14.162223348860202,0.6100464904006071,5.116040536494879,25.201987953485396,0.6956521739130435,0.8260869565217391
nested_source_cv,nnls_physics,223,18.29327685201794,26.256210407414873,0.38618571736694707,12.618923999999993,43.32008280000001,0.4349775784753363,0.695067264573991
nested_source_cv,physics_residual_xgboost,223,15.509166924458313,25.369079179244352,0.4269634683756923,9.11231594085693,35.21366546630861,0.5246636771300448,0.7982062780269058
nested_source_cv,physics_residual_random_forest,223,13.658352780604789,22.55850073205742,0.5469007256626157,7.843318166732658,31.35945702996821,0.5739910313901345,0.8161434977578476
nested_source_cv,direct_xgboost,223,17.522069828392677,27.826149828007985,0.31058752122852296,10.321021270751956,43.414146016438785,0.47533632286995514,0.757847533632287
nested_source_cv,ls_psrmoe_fusion,223,14.63072963622775,24.74771601445149,0.45469039271369016,8.010927108939732,32.362588940536405,0.5650224215246636,0.7892376681614349
prospective_open_external,nnls_physics,194,17.81461962113402,25.271188728599363,0.6026231282390366,12.377065000000002,38.593287000000004,0.4020618556701031,0.6958762886597938
prospective_open_external,physics_residual_xgboost,194,13.175941580023963,19.178163143023273,0.7711424408231016,8.28454587757587,29.689501724243172,0.5670103092783505,0.788659793814433
prospective_open_external,physics_residual_random_forest,194,12.104038413702584,18.835194152734342,0.7792547095166087,6.737547488033648,29.94875227495131,0.634020618556701,0.8350515463917526
prospective_open_external,direct_xgboost,194,13.17474061631665,19.19445119736449,0.770753537331087,8.154111862182617,30.87885528564454,0.5412371134020618,0.7577319587628866
prospective_open_external,ls_psrmoe_fusion,194,12.748685611006293,18.966018722079898,0.7761775763393605,8.399752134625054,31.229719459499684,0.5721649484536082,0.8144329896907216
