table_section,claim_role,analysis_split,scenario,model_name,n_samples,metric_name,metric_value,source_file
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,vOCG,33,MedAE,4.8622,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,vOCG,33,P90AE,24.6625,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,vOCG,33,Within_5deg,0.515152,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,vOCG,33,Within_10deg,0.575758,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,vOCG,33,Within_15deg,0.727273,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Harmonic Mean,33,MAE,13.9963,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Harmonic Mean,33,RMSE,17.1573,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Harmonic Mean,33,R2,0.675652,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Harmonic Mean,33,MedAE,13.1081,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Harmonic Mean,33,P90AE,28.938,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Harmonic Mean,33,Within_5deg,0.212121,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Harmonic Mean,33,Within_10deg,0.424242,main_result_table_v3.4_20260518.csv
model_selection_check,internal_generalization_check,internal_test,v3.4_strict_original_protocol,Harmonic Mean,33,Within_15deg,0.69697,main_result_table_v3.4_20260518.csv
