table_section,claim_role,analysis_split,scenario,model_name,n_samples,MAE,RMSE,R2,MedAE,P90AE,Within_5deg,Within_10deg,Within_15deg,source_file,notes
supporting_holdout,supporting_holdout_evidence,hard_external,v3.4_strict_original_protocol,Weighted Geometric,75,10.7407,26.5052,0.494101,2.7364,24.9655,0.68,0.786667,0.88,main_result_table_v3.4_20260518.csv,Retained from v3.4 strict result; not affected by source-disjoint SFE correction.
primary_clean_external,primary_clean_external_validation,clean_source_disjoint_external_LOO_SFE_114,loo_sfe_corrected_loo_feasible_114,PCRNN,114,19.0381,24.8473,0.701312,13.3078,43.1505,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,Primary clean external validation after removing target liquid from apparent SFE fitting.
primary_clean_external,primary_clean_external_validation,clean_source_disjoint_external_LOO_SFE_114,loo_sfe_corrected_loo_feasible_114,Owens-Wendt,114,19.0453,24.8253,0.701841,13.8448,43.1505,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,Primary clean external validation after removing target liquid from apparent SFE fitting.
primary_clean_external,primary_clean_external_validation,clean_source_disjoint_external_LOO_SFE_114,loo_sfe_corrected_loo_feasible_114,XGBoost,114,17.0573,22.5064,0.754941,11.9943,41.0456,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,Primary clean external validation after removing target liquid from apparent SFE fitting.
primary_clean_external,primary_clean_external_validation,clean_source_disjoint_external_LOO_SFE_114,loo_sfe_corrected_loo_feasible_114,Random Forest,114,24.4038,29.6862,0.573646,23.849,44.4621,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,Primary clean external validation after removing target liquid from apparent SFE fitting.
primary_clean_external,primary_clean_external_validation,clean_source_disjoint_external_LOO_SFE_114,loo_sfe_corrected_loo_feasible_114,Ordinary MLP,114,20.1858,23.7907,0.726173,18.0066,42.0631,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,Primary clean external validation after removing target liquid from apparent SFE fitting.
leakage_risk_sensitivity,sensitivity_not_primary,original_source_disjoint_external_all_liquid_SFE_148,original_all_liquid_source_disjoint_external,PCRNN,148,6.1668,10.669,0.93768,2.5508,18.6754,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,"All-liquid apparent SFE result retained only as leakage-risk sensitivity, not as the main external claim."
leakage_risk_sensitivity,sensitivity_not_primary,original_source_disjoint_external_all_liquid_SFE_148,original_all_liquid_source_disjoint_external,Owens-Wendt,148,6.3023,11.1231,0.932263,2.151,21.5013,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,"All-liquid apparent SFE result retained only as leakage-risk sensitivity, not as the main external claim."
leakage_risk_sensitivity,sensitivity_not_primary,original_source_disjoint_external_all_liquid_SFE_148,original_all_liquid_source_disjoint_external,XGBoost,148,8.3396,11.7227,0.924763,6.0493,17.6635,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,"All-liquid apparent SFE result retained only as leakage-risk sensitivity, not as the main external claim."
leakage_risk_sensitivity,sensitivity_not_primary,original_source_disjoint_external_all_liquid_SFE_148,original_all_liquid_source_disjoint_external,Random Forest,148,14.7454,20.6469,0.766607,7.0102,37.8131,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,"All-liquid apparent SFE result retained only as leakage-risk sensitivity, not as the main external claim."
leakage_risk_sensitivity,sensitivity_not_primary,original_source_disjoint_external_all_liquid_SFE_148,original_all_liquid_source_disjoint_external,Ordinary MLP,148,12.1643,15.4975,0.868508,9.0386,26.2835,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,"All-liquid apparent SFE result retained only as leakage-risk sensitivity, not as the main external claim."
leakage_risk_sensitivity,sensitivity_not_primary,original_source_disjoint_external_all_liquid_SFE_matched_114,original_all_liquid_loo_feasible_114,PCRNN,114,7.9098,12.1343,0.928766,4.1723,24.3914,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,"All-liquid apparent SFE result retained only as leakage-risk sensitivity, not as the main external claim."
leakage_risk_sensitivity,sensitivity_not_primary,original_source_disjoint_external_all_liquid_SFE_matched_114,original_all_liquid_loo_feasible_114,Owens-Wendt,114,8.1716,12.6736,0.922293,4.1107,25.2911,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,"All-liquid apparent SFE result retained only as leakage-risk sensitivity, not as the main external claim."
leakage_risk_sensitivity,sensitivity_not_primary,original_source_disjoint_external_all_liquid_SFE_matched_114,original_all_liquid_loo_feasible_114,XGBoost,114,8.3625,11.8754,0.931773,6.3957,16.5031,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,"All-liquid apparent SFE result retained only as leakage-risk sensitivity, not as the main external claim."
leakage_risk_sensitivity,sensitivity_not_primary,original_source_disjoint_external_all_liquid_SFE_matched_114,original_all_liquid_loo_feasible_114,Random Forest,114,17.8368,23.1777,0.740103,14.1173,39.4881,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,"All-liquid apparent SFE result retained only as leakage-risk sensitivity, not as the main external claim."
leakage_risk_sensitivity,sensitivity_not_primary,original_source_disjoint_external_all_liquid_SFE_matched_114,original_all_liquid_loo_feasible_114,Ordinary MLP,114,12.8393,16.321,0.871129,9.1918,26.8003,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,"All-liquid apparent SFE result retained only as leakage-risk sensitivity, not as the main external claim."
diagnostic_appendix,diagnostic_appendix_only,high_risk_source_disjoint_external_34_original_only,high_risk_34_original_only,PCRNN,34,0.3227,1.34,0.997996,0.0103,0.2089,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,High-risk LOO-SFE-infeasible cohort; report separately and do not mix into strong external validation.
diagnostic_appendix,diagnostic_appendix_only,high_risk_source_disjoint_external_34_original_only,high_risk_34_original_only,Owens-Wendt,34,0.0345,0.0902,0.999991,0.0102,0.0781,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,High-risk LOO-SFE-infeasible cohort; report separately and do not mix into strong external validation.
diagnostic_appendix,diagnostic_appendix_only,high_risk_source_disjoint_external_34_original_only,high_risk_34_original_only,XGBoost,34,8.2631,11.1953,0.860089,4.9361,19.4569,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,High-risk LOO-SFE-infeasible cohort; report separately and do not mix into strong external validation.
diagnostic_appendix,diagnostic_appendix_only,high_risk_source_disjoint_external_34_original_only,high_risk_34_original_only,Random Forest,34,4.38,7.3764,0.939261,3.0272,6.7901,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,High-risk LOO-SFE-infeasible cohort; report separately and do not mix into strong external validation.
diagnostic_appendix,diagnostic_appendix_only,high_risk_source_disjoint_external_34_original_only,high_risk_34_original_only,Ordinary MLP,34,9.9012,12.3416,0.82997,8.7406,17.6569,,,,pcrnn_strict_v3.4_loo_sfe_metrics_20260519.csv,High-risk LOO-SFE-infeasible cohort; report separately and do not mix into strong external validation.
