comparison_type,model_name,baseline_model,n_samples,MAE_before,MAE_after,delta_MAE_after_minus_before,RMSE_before,RMSE_after,delta_RMSE_after_minus_before,R2_before,R2_after,delta_R2_after_minus_before,notes,delta_MAE_PCRNN_minus_baseline,bootstrap_ci_low,bootstrap_ci_high,p_two_sided,n_bootstrap
loo_sfe_change_on_matched_114,PCRNN,,114,7.909764649122807,19.038104559245863,11.128339910123056,12.13426874790332,24.847273514629165,12.713004766725845,0.9287660578080983,0.7013123664722443,-0.22745369133585402,Matched loo_sfe_feasible=yes source_disjoint_external subset only.,,,,,
loo_sfe_change_on_matched_114,Owens-Wendt,,114,8.171621929824562,19.04528607150852,10.873664141683959,12.67357572218877,24.825289832811606,12.151714110622835,0.9222933675076048,0.7018406617912787,-0.22045270571632614,Matched loo_sfe_feasible=yes source_disjoint_external subset only.,,,,,
loo_sfe_change_on_matched_114,XGBoost,,114,8.362465789473685,17.05727950212138,8.694813712647694,11.875419681304122,22.506379510946367,10.630959829642245,0.9317727771286416,0.7549407859195334,-0.1768319912091082,Matched loo_sfe_feasible=yes source_disjoint_external subset only.,,,,,
loo_sfe_change_on_matched_114,Random Forest,,114,17.836838596491226,24.403827500416657,6.566988903925431,23.17773744689866,29.686246475082758,6.508509028184097,0.7401026576043663,0.5736460032029027,-0.16645665440146362,Matched loo_sfe_feasible=yes source_disjoint_external subset only.,,,,,
loo_sfe_change_on_matched_114,Ordinary MLP,,114,12.839299122807018,20.185782362856465,7.346483240049446,16.32102792326029,23.79073823891972,7.46971031565943,0.8711291252822497,0.7261734227085799,-0.14495570257366985,Matched loo_sfe_feasible=yes source_disjoint_external subset only.,,,,,
paired_abs_error_test_loo_corrected_114,PCRNN,Owens-Wendt,114,,,,,,,,,,Negative delta means PCRNN has lower MAE than the baseline.,-0.007181512262655026,-0.17286464274048252,0.16339476418152465,0.908,10000
paired_abs_error_test_loo_corrected_114,PCRNN,XGBoost,114,,,,,,,,,,Negative delta means PCRNN has lower MAE than the baseline.,1.9808250571244863,0.009946626086130237,3.9263771637959555,0.0492,10000
paired_abs_error_test_loo_corrected_114,PCRNN,Random Forest,114,,,,,,,,,,Negative delta means PCRNN has lower MAE than the baseline.,-5.365722941170801,-8.613053924195034,-2.073523209067048,0.0008,10000
paired_abs_error_test_loo_corrected_114,PCRNN,Ordinary MLP,114,,,,,,,,,,Negative delta means PCRNN has lower MAE than the baseline.,-1.1476778036106055,-3.796293195869342,1.5643534706895987,0.3998,10000
