rank,record_id,loo_sfe_group,sfe_mode,model_name,y_true,y_pred,owens_wendt_pred,gate_value,residual_pred,error,abs_error,source_group_id,duplicate_policy,possible_reason
24,CA0523,loo_feasible,loo_sfe_corrected,PCRNN,116.6,84.75851440429688,84.75852368707078,0.0,-9.282773902441477e-06,-31.84148559570312,31.84148559570312,SDX005,unique_or_condition_distinct_keep,gate_closed
25,CA0491,loo_feasible,loo_sfe_corrected,PCRNN,142.0,110.81179809570312,110.8118007753506,0.0,-2.6796474799084535e-06,-31.188201904296875,31.188201904296875,SDX004,unique_or_condition_distinct_keep,high_angle_sample; gate_closed
26,CA0519,loo_feasible,loo_sfe_corrected,PCRNN,80.2,110.45613861083984,110.45614589156588,0.0,-7.2807260380614025e-06,30.25613861083984,30.25613861083984,SDX005,unique_or_condition_distinct_keep,gate_closed
27,CA0598,loo_feasible,loo_sfe_corrected,PCRNN,37.9,8.898544311523438,8.898549401766413,0.0,-5.090242975569481e-06,-29.00145568847656,29.00145568847656,SDX010,unique_or_condition_distinct_keep,gate_closed
28,CA0518,loo_feasible,loo_sfe_corrected,PCRNN,114.8,85.9418716430664,85.9418742311643,0.0,-2.5880978995473924e-06,-28.85812835693359,28.85812835693359,SDX005,unique_or_condition_distinct_keep,gate_closed
29,CA0479,loo_feasible,loo_sfe_corrected,PCRNN,126.0,97.28865051269531,97.28865540432555,0.0,-4.891630240422273e-06,-28.711349487304688,28.711349487304688,SDX004,unique_or_condition_distinct_keep,high_angle_sample; gate_closed
30,CA0514,loo_feasible,loo_sfe_corrected,PCRNN,142.0,113.93209838867188,112.45712127213716,0.07599832117557526,1.474977116534717,-28.067901611328125,28.067901611328125,SDX004,unique_or_condition_distinct_keep,high_angle_sample
31,CA0473,loo_feasible,loo_sfe_corrected,PCRNN,150.0,123.03367614746094,123.03368128401901,0.0,-5.136558073104425e-06,-26.966323852539062,26.966323852539062,SDX004,unique_or_condition_distinct_keep,high_angle_sample; gate_closed
32,CA0486,loo_feasible,loo_sfe_corrected,PCRNN,123.0,96.1058578491211,96.10586319151196,0.0,-5.34239086391608e-06,-26.894142150878906,26.894142150878906,SDX004,unique_or_condition_distinct_keep,high_angle_sample; gate_closed
33,CA0579,loo_feasible,loo_sfe_corrected,PCRNN,26.4,0.0,0.0,0.0,0.0,-26.4,26.4,SDX003,unique_or_condition_distinct_keep,gate_closed
34,CA0504,loo_feasible,loo_sfe_corrected,PCRNN,105.0,131.23350524902344,131.23351107257267,0.0,-5.823549230399294e-06,26.233505249023438,26.233505249023438,SDX004,unique_or_condition_distinct_keep,gate_closed
35,CA0592,loo_feasible,loo_sfe_corrected,PCRNN,25.6,0.0,0.0,0.0,0.0,-25.6,25.6,SDX010,unique_or_condition_distinct_keep,gate_closed
36,CA0599,loo_feasible,loo_sfe_corrected,PCRNN,81.4,55.83292007446289,55.83292364927654,0.0,-3.574813646878283e-06,-25.567079925537115,25.567079925537115,SDX010,unique_or_condition_distinct_keep,gate_closed
37,CA0507,loo_feasible,loo_sfe_corrected,PCRNN,133.0,107.48910522460938,107.48911342401034,0.0,-8.199400966191206e-06,-25.510894775390625,25.510894775390625,SDX004,unique_or_condition_distinct_keep,high_angle_sample; gate_closed
38,CA0520,loo_feasible,loo_sfe_corrected,PCRNN,115.5,90.48405456542969,90.48405765000714,0.0,-3.0845774574572715e-06,-25.015945434570312,25.015945434570312,SDX005,unique_or_condition_distinct_keep,gate_closed
39,CA0522,loo_feasible,loo_sfe_corrected,PCRNN,79.8,104.78228759765625,104.78229187421331,0.0,-4.2765570640312944e-06,24.982287597656253,24.982287597656253,SDX005,unique_or_condition_distinct_keep,gate_closed
40,CA0596,loo_feasible,loo_sfe_corrected,PCRNN,96.8,73.4698715209961,73.46987262892243,0.0,-1.1079263373403592e-06,-23.330128479003903,23.330128479003903,SDX010,unique_or_condition_distinct_keep,gate_closed
