stratum_type,stratum,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg
target_liquid_id,LIQ_0F4168490E,79,13.1331079817436,19.796242358088012,0.7546325205235417,8.517273507959558,30.436049994310235
target_liquid_id,LIQ_1BD1B94C09,58,9.89497684330725,15.37685253645019,0.8218416114052407,7.308061934258124,19.271437442781966
target_liquid_id,LIQ_53310FAFB3,16,13.195577784201586,15.680710600932727,0.9001049887719198,14.383822424196829,23.335718318159415
target_liquid_id,LIQ_5C0DC0DCD1,12,12.522268643781766,13.865462103970092,0.9181261001062657,11.956838239016669,19.652349077040235
target_liquid_id,LIQ_6656B41AB7,88,18.39537021777701,25.650419669781062,0.6000230325911191,12.281172663650295,44.93737440674154
target_liquid_id,LIQ_B6950B5CB8,10,16.60194176930217,22.478026046712667,0.8229399887927479,13.838607051395837,37.941419032838624
angle_bin,hydrophilic,115,17.94994332906748,25.435605999959986,-0.907434822074449,10.830081289803609,41.77600389468892
angle_bin,hydrophobic,31,14.118528276957298,21.281294511524376,-4.438553450399397,11.91860012107388,23.932140219100447
angle_bin,neutral,102,10.747923023328799,14.688275326078026,0.25426155198268763,8.480844862297644,22.188451040927706
angle_bin,superhydrophobic,19,16.92918361392581,22.956963738067294,-23.75324531009658,11.665913004490818,40.593095243533746
solid_family,carbon_surface,18,24.567754311094443,28.048897526061694,-10.264621851935285,25.575617103998134,40.97876371400788
solid_family,coating,26,33.43777992633336,38.7215651055501,0.5706463015475176,30.925884633689343,59.09151475437166
solid_family,inorganic,24,14.939054255110713,17.176255457232163,0.2194395488783416,14.75010274982214,26.321465627704146
solid_family,other,5,7.877096686223361,9.429825720587255,0.1278092068851212,11.320856091660673,12.490289055435031
solid_family,polymer,77,8.827635144670623,11.949811333247046,0.7953911739016714,6.353509510245232,20.903957420398665
solid_family,polymer_film,48,7.279344056578128,8.927821048546136,0.829809119126477,5.241375702566501,14.799788902985085
solid_family,polymer_textile,48,14.681283619975076,24.521797129205456,0.78585095279137,6.236743272903894,43.182186524738476
solid_family,textile_composite,21,22.690372410487186,27.694101166569034,0.22551367648337628,16.59132724347255,44.02657882099366
probe_count_bin,2,234,14.442746937701937,21.329114407087758,0.7226395074492916,8.82763500796109,36.79325938904965
probe_count_bin,3_or_more,33,16.371445850009437,20.6021678673124,0.6027210894341355,13.973300034348028,39.35277710079394
source_group_id,OPEN_CARBON_GLYCAN_2016,18,24.567754311094443,28.048897526061694,-10.264621851935285,25.575617103998134,40.97876371400788
source_group_id,OPEN_CROSS_MATERIAL_2026,5,7.877096686223361,9.429825720587255,0.1278092068851212,11.320856091660673,12.490289055435031
source_group_id,OPEN_FACEMASK_2023,21,22.690372410487186,27.694101166569034,0.22551367648337628,16.59132724347255,44.02657882099366
source_group_id,OPEN_PLA_FILMS_2021,48,7.279344056578128,8.927821048546136,0.829809119126477,5.241375702566501,14.799788902985085
source_group_id,OPEN_POLYMER_SURFACES_2023,54,8.537629338800732,10.871614476111635,0.7877308240018357,6.881408139112683,19.75904426800056
source_group_id,OPEN_TEXTILE_ANTI_WETTING_2019,48,14.681283619975076,24.521797129205456,0.78585095279137,6.236743272903894,43.182186524738476
source_group_id,SDX007,9,9.116859216313019,14.095276059347192,-0.03642924329014274,3.2397124332258045,26.2872020613343
source_group_id,SDX010,14,9.760299206970092,14.205094567703785,0.6130054872860018,6.708555489025404,22.583445256331007
source_group_id,SRC012,4,23.403927510823262,24.732016511323707,0.439851305175179,24.40118256106053,31.541751231038365
source_group_id,SRC013,18,35.19064669693539,40.86224123797538,-23.750792608744415,27.872315805009585,64.31561312883879
source_group_id,SRC017,8,29.49382969247882,33.40722236279588,-65.62940334312174,39.17491607778886,43.11056811971065
source_group_id,SRC018,20,13.246079603968202,15.221497091128697,-0.07431724670306372,14.340057241885155,22.485662060361744
