split,prediction_mode,model,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg,interval_coverage,mean_interval_width_deg,retained_fraction,retained_mae_deg
nested_source_cv,probe_assisted,physics_expert,223,18.29327662001811,26.25621035313027,0.3861857160478416,12.618927001953125,43.320080566406254,,,,
nested_source_cv,probe_assisted,neural_expert,223,17.152203115112577,26.9542029698451,0.35311676908927614,11.159820556640625,34.92072906494141,,,,
nested_source_cv,probe_assisted,physics_residual_xgboost_expert,223,15.50916695439428,25.36907909671528,0.4269634685030502,9.112318992614746,35.213667297363294,,,,
nested_source_cv,probe_assisted,physics_residual_random_forest_expert,223,13.658352736983813,22.558500594904565,0.5469007283249037,7.843318166732658,31.359454588561967,,,,
nested_source_cv,probe_assisted,direct_xgboost_baseline,223,17.522069755691046,27.826149691357035,0.3105875236674872,10.321022033691406,43.414143880208336,,,,
nested_source_cv,probe_assisted,direct_random_forest_baseline,223,18.982245619330367,27.599773533748596,0.3217591531737838,12.493828645416315,56.417312278860386,,,,
nested_source_cv,probe_assisted,ls_psrmoe_fusion,223,14.630729673006222,24.74771591171424,0.4546903938145309,8.010927108939732,32.36258710948173,0.8834080717488789,78.17223622207834,0.7982062780269058,11.926219448912166
internal_test,probe_assisted,physics_expert,50,25.246908073425292,37.04954900201485,0.49950236463196984,15.459339141845703,79.95324287414552,,,,
internal_test,probe_assisted,neural_expert,50,24.673505592346192,33.340294234051534,0.5947014640685626,19.19040298461914,63.61607322692871,,,,
internal_test,probe_assisted,physics_residual_xgboost_expert,50,25.91772745686769,31.817337645813367,0.6308831662178005,20.391197514534,58.139043197631835,,,,
internal_test,probe_assisted,physics_residual_random_forest_expert,50,23.32073341919654,29.33146117418312,0.6863079047093303,21.2810045421203,47.2058719897999,,,,
internal_test,probe_assisted,direct_xgboost_baseline,50,30.46570976257324,39.27861179713036,0.43746643717930656,24.551560211181645,70.46126708984376,,,,
internal_test,probe_assisted,direct_random_forest_baseline,50,34.98827757441474,38.595347006894286,0.45686714043380217,37.24998048777405,54.26436867950699,,,,
internal_test,probe_assisted,ls_psrmoe_fusion,50,24.5583916041465,30.352568176870165,0.6640868039672772,20.463289622873226,44.278712850791756,0.76,70.09592995564638,0.9,25.824937743044817
legacy_external,probe_assisted,physics_expert,23,16.930033559384555,22.216015903521313,0.0404175056335353,15.166393280029297,35.57347412109376,,,,
legacy_external,probe_assisted,neural_expert,23,16.518779391827792,20.079557035983424,0.21610441767121935,15.128162384033203,32.702279281616214,,,,
legacy_external,probe_assisted,physics_residual_xgboost_expert,23,8.545673987398978,12.489646501574425,0.6967154727022834,6.157323837280273,22.350593948364267,,,,
legacy_external,probe_assisted,physics_residual_random_forest_expert,23,10.304912608850051,15.61404396085472,0.5259973640390363,4.382495902283097,28.399763243516098,,,,
legacy_external,probe_assisted,direct_xgboost_baseline,23,10.81240799945334,16.358192285310842,0.4797398293844263,4.938433837890628,34.9515885925293,,,,
legacy_external,probe_assisted,direct_random_forest_baseline,23,21.82175601035667,28.282101331121883,-0.5551536685710372,16.02907862579623,57.20538155176358,,,,
legacy_external,probe_assisted,ls_psrmoe_fusion,23,9.508518341060805,14.162223523816664,0.6100464750028324,5.116043588252694,25.20198741942778,0.9565217391304348,63.3962552108969,0.9130434782608695,8.956142130610905
prospective_open_external,probe_assisted,physics_expert,194,17.81461948217805,25.271188699307718,0.602623128887138,12.377063751220703,38.59328651428223,,,,
prospective_open_external,probe_assisted,neural_expert,194,17.341081127677995,23.330069119717976,0.661324878274021,13.342277526855469,35.02809677124025,,,,
prospective_open_external,probe_assisted,physics_residual_xgboost_expert,194,13.17594149625793,19.17816298955477,0.7711424443285743,8.284547403454784,29.689501724243172,,,,
prospective_open_external,probe_assisted,physics_residual_random_forest_expert,194,12.104038388140179,18.835194044469418,0.7792547119025977,6.737547488033652,29.94875238939223,,,,
prospective_open_external,probe_assisted,direct_xgboost_baseline,194,13.174740559292824,19.19445105092698,0.7707535406714556,8.154111862182617,30.87885528564454,,,,
prospective_open_external,probe_assisted,direct_random_forest_baseline,194,19.177741290692744,26.14362246206398,0.5747123501501817,10.903032240490184,45.25941357987069,,,,
prospective_open_external,probe_assisted,ls_psrmoe_fusion,194,12.748685538251756,18.966018583725063,0.776177579451057,8.399752134625054,31.229719497646652,0.9175257731958762,72.08901984974673,0.9948453608247423,12.795230943446537
