ablation,setting,split,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg
source_balance,false,nested_inner_oof,4,13.656587393061427,,,,
source_balance,true,nested_inner_oof,4,13.610618993968522,,,,
physics_summary,removed_from_neural,internal_test,50,24.573267128938195,30.561444038361707,0.6594476195322034,20.464681831312987,43.85166286865688
expert,remove_physics,internal_test,50,25.34668239610711,31.198333197203294,0.6451057503874023,21.778748701327846,55.34861132121625
expert,remove_neural,internal_test,50,24.810546050007144,30.439374810109904,0.6621626708466879,21.22516893249503,45.13536702361261
expert,remove_xgboost,internal_test,50,24.30375276507995,35.33374741097892,0.544786033095904,15.152193972107469,76.27092478049929
physics_summary,removed_from_neural,legacy_external,23,9.616280846390628,14.25361038036768,0.6049976059624599,4.400107774152836,25.681547606823734
expert,remove_physics,legacy_external,23,8.71924569447672,12.587976388367132,0.6919212095566962,5.32512350314736,22.715199237806893
expert,remove_neural,legacy_external,23,9.153306637071193,13.911210005662038,0.6237471701946018,4.947325286318069,24.855877504477178
expert,remove_xgboost,legacy_external,23,16.837338882461758,21.48893054183307,0.10220007348750504,15.249332667425989,34.92632085427358
physics_summary,removed_from_neural,prospective_open_external,194,12.79135911698231,19.106226919734997,0.7728560846879077,8.771220784947758,32.03540794281546
expert,remove_physics,prospective_open_external,194,12.76221854321282,18.837004936398017,0.7792122631679426,7.812972143855159,29.26020213130736
expert,remove_neural,prospective_open_external,194,12.683292205425428,18.95754386887219,0.7763775589455915,8.542209889436712,30.64597052889095
expert,remove_xgboost,prospective_open_external,194,17.07507600365517,24.184626010261688,0.6360598276939116,11.535786953665308,37.69383593187454
