seed,epoch,train_loss
7,1,127.98622131347656
7,2,128.16738319396973
7,3,92.20895385742188
7,4,97.29538345336914
7,5,134.0539779663086
7,6,101.14150810241699
7,7,113.28670883178711
7,8,88.88725566864014
7,9,93.50579452514648
7,10,111.95127487182617
7,11,93.19397449493408
7,12,94.90227127075195
7,13,101.2594108581543
7,14,100.48729515075684
7,15,84.34310913085938
7,16,85.64054870605469
7,17,83.01108932495117
7,18,88.29474639892578
7,19,78.84537696838379
19,1,118.8355541229248
19,2,125.78670120239258
19,3,113.75287628173828
19,4,124.69090461730957
19,5,112.38764762878418
19,6,109.73305892944336
19,7,95.58526229858398
19,8,81.52467727661133
19,9,104.57413864135742
19,10,108.50290489196777
19,11,95.00540351867676
19,12,93.15294361114502
19,13,99.26567459106445
19,14,87.21273422241211
19,15,96.38621520996094
19,16,76.32241821289062
19,17,78.0394058227539
19,18,92.60516548156738
19,19,86.3417911529541
42,1,140.6247100830078
42,2,136.03124046325684
42,3,118.82013320922852
42,4,126.76708602905273
42,5,108.9082260131836
42,6,123.38266372680664
42,7,112.65092849731445
42,8,113.60783958435059
42,9,84.96549224853516
42,10,105.15982437133789
42,11,80.45034408569336
42,12,120.71971893310547
42,13,95.85556030273438
42,14,80.28818130493164
42,15,92.60144805908203
42,16,101.57090187072754
42,17,80.34723281860352
42,18,71.24530982971191
42,19,85.50181102752686
67,1,126.10999298095703
67,2,134.22700309753418
67,3,110.31599617004395
67,4,105.60790634155273
67,5,125.86140823364258
67,6,128.03818130493164
67,7,105.75185585021973
67,8,93.06155395507812
67,9,80.15569305419922
67,10,90.36282157897949
67,11,86.91318702697754
67,12,91.05217361450195
67,13,84.72483444213867
67,14,102.91551399230957
67,15,94.79485893249512
67,16,72.75444793701172
67,17,85.82083702087402
67,18,86.65835571289062
67,19,86.57927894592285
99,1,121.6220474243164
99,2,122.02423095703125
99,3,122.38355255126953
99,4,119.42268371582031
99,5,105.99019622802734
99,6,125.41398048400879
99,7,114.33601379394531
99,8,105.53840637207031
99,9,122.09524154663086
99,10,103.82252311706543
99,11,91.39235496520996
99,12,84.68843460083008
99,13,94.35099601745605
99,14,86.3377685546875
99,15,84.68564796447754
99,16,71.77267456054688
99,17,91.8007173538208
99,18,85.35925197601318
99,19,73.10651683807373
