outer_fold,config_key,max_delta_cos,source_balance,residual_penalty,expert_set,n_experts,inner_oof_mae_deg,inner_oof_source_median_mae_deg,weights_json,median_best_epoch
0,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural,2,19.054229031896305,23.687287464848296,"{""neural"": 0.9999999999999871, ""physics"": 1.2934098236883074e-14}",23
0,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural+xgboost,3,17.265301686285877,18.816750797152473,"{""neural"": 1.345494896054511e-16, ""physics"": 0.3807304215657759, ""xgboost"": 0.619269578434224}",23
0,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural+random_forest,3,17.600724831241617,20.361582139614708,"{""neural"": 0.29919653346550873, ""physics"": 0.0, ""random_forest"": 0.7008034665344913}",23
0,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural+xgboost+random_forest,4,17.211269693298018,18.723182432478392,"{""neural"": 6.719639425510453e-17, ""physics"": 0.2899730352011858, ""random_forest"": 0.25324432816225734, ""xgboost"": 0.45678263663655677}",23
0,delta0.25_unbalanced_rp0.05,0.25,False,0.05,physics+neural,2,19.054337949694304,23.68726344638401,"{""neural"": 0.9999999999999978, ""physics"": 2.220446049250313e-15}",23
0,delta0.25_unbalanced_rp0.05,0.25,False,0.05,physics+neural+xgboost,3,17.265301689538326,18.81675073364498,"{""neural"": 0.0, ""physics"": 0.3807304505220013, ""xgboost"": 0.6192695494779987}",23
0,delta0.25_unbalanced_rp0.05,0.25,False,0.05,physics+neural+random_forest,3,17.600825915210763,20.361599748318614,"{""neural"": 0.29917304883947426, ""physics"": 0.0, ""random_forest"": 0.7008269511605256}",23
0,delta0.25_unbalanced_rp0.05,0.25,False,0.05,physics+neural+xgboost+random_forest,4,17.211269690999853,18.723182432792076,"{""neural"": 1.3462953421896663e-16, ""physics"": 0.28997303167491223, ""random_forest"": 0.2532443650601534, ""xgboost"": 0.4567826032649343}",23
0,delta0.35_balanced_rp0.02,0.35,True,0.02,physics+neural,2,18.873040702445376,23.948038431803386,"{""neural"": 1.0, ""physics"": 0.0}",19
0,delta0.35_balanced_rp0.02,0.35,True,0.02,physics+neural+xgboost,3,17.265301687607707,18.816750771342367,"{""neural"": 0.0, ""physics"": 0.38073043333388573, ""xgboost"": 0.6192695666661142}",19
