outer_fold,config_key,max_delta_cos,source_balance,residual_penalty,expert_set,n_experts,inner_oof_mae_deg,inner_oof_source_median_mae_deg,weights_json,median_best_epoch
0,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural,2,14.32595792449258,14.549380245482856,"{""neural"": 0.45564751693006816, ""physics"": 0.5443524830699319}",10
0,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural+xgboost,3,14.145458663810238,12.20739225187518,"{""neural"": 0.3145007983621501, ""physics"": 0.4702613553541413, ""xgboost"": 0.21523784628370843}",10
0,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural+random_forest,3,14.24370842822453,13.781412226322463,"{""neural"": 0.3569470993620099, ""physics"": 0.4652255577719404, ""random_forest"": 0.17782734286604973}",10
0,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural+xgboost+random_forest,4,14.145458663884238,12.20739238074375,"{""neural"": 0.3145008061115478, ""physics"": 0.47026135946187425, ""random_forest"": 0.0, ""xgboost"": 0.21523783442657785}",10
0,delta0.25_unbalanced_rp0.05,0.25,False,0.05,physics+neural,2,14.325959021334823,14.549369435502236,"{""neural"": 0.45564579633810687, ""physics"": 0.5443542036618932}",10
0,delta0.25_unbalanced_rp0.05,0.25,False,0.05,physics+neural+xgboost,3,14.145459491432455,12.207377018674899,"{""neural"": 0.31449824457642855, ""physics"": 0.47026390335174306, ""xgboost"": 0.21523785207182844}",10
0,delta0.25_unbalanced_rp0.05,0.25,False,0.05,physics+neural+random_forest,3,14.243709176571745,13.781400774669647,"{""neural"": 0.35694526050148173, ""physics"": 0.4652272224667027, ""random_forest"": 0.17782751703181565}",10
0,delta0.25_unbalanced_rp0.05,0.25,False,0.05,physics+neural+xgboost+random_forest,4,14.145459488743084,12.207376212714735,"{""neural"": 0.31449813929948683, ""physics"": 0.47026397930418934, ""random_forest"": 1.9228494935619872e-17, ""xgboost"": 0.21523788139632383}",10
0,delta0.35_balanced_rp0.02,0.35,True,0.02,physics+neural,2,14.403240020434588,13.142528263562905,"{""neural"": 0.15439547718762517, ""physics"": 0.8456045228123749}",3
0,delta0.35_balanced_rp0.02,0.35,True,0.02,physics+neural+xgboost,3,14.196803519670624,12.415367757642052,"{""neural"": 0.11223602939591347, ""physics"": 0.6586747189291233, ""xgboost"": 0.22908925167496327}",3
0,delta0.35_balanced_rp0.02,0.35,True,0.02,physics+neural+random_forest,3,14.28463930089728,12.66137122312464,"{""neural"": 0.12229260172518491, ""physics"": 0.6733218368225677, ""random_forest"": 0.2043855614522474}",3
0,delta0.35_balanced_rp0.02,0.35,True,0.02,physics+neural+xgboost+random_forest,4,14.196803578101063,12.415367441517898,"{""neural"": 0.11223632249595653, ""physics"": 0.6586746293991358, ""random_forest"": 0.0, ""xgboost"": 0.22908904810490768}",3
0,delta0.35_balanced_rp0.05,0.35,True,0.05,physics+neural,2,14.403240970761575,13.142506664509376,"{""neural"": 0.15439264533831243, ""physics"": 0.8456073546616877}",3
0,delta0.35_balanced_rp0.05,0.35,True,0.05,physics+neural+xgboost,3,14.19680458577422,12.41538106637331,"{""neural"": 0.11223326159695766, ""physics"": 0.6586772951565029, ""xgboost"": 0.22908944324653946}",3
0,delta0.35_balanced_rp0.05,0.35,True,0.05,physics+neural+random_forest,3,14.284640627057504,12.661350756862825,"{""neural"": 0.12228868607444858, ""physics"": 0.6733254726243698, ""random_forest"": 0.20438584130118168}",3
0,delta0.35_balanced_rp0.05,0.35,True,0.05,physics+neural+xgboost+random_forest,4,14.196804633144954,12.415380817281166,"{""neural"": 0.11223348877981931, ""physics"": 0.6586772621339001, ""random_forest"": 0.0, ""xgboost"": 0.2290892490862806}",3
0,delta0.35_unbalanced_rp0.02,0.35,False,0.02,physics+neural,2,14.359958158503984,13.90305040579773,"{""neural"": 0.25360973533179215, ""physics"": 0.7463902646682078}",3
0,delta0.35_unbalanced_rp0.02,0.35,False,0.02,physics+neural+xgboost,3,14.165510266755536,12.19629900014829,"{""neural"": 0.17334448195715754, ""physics"": 0.6040300398311418, ""xgboost"": 0.22262547821170062}",3
0,delta0.35_unbalanced_rp0.02,0.35,False,0.02,physics+neural+random_forest,3,14.26677665632752,13.217656848604596,"{""neural"": 0.1927581661994092, ""physics"": 0.618916008597363, ""random_forest"": 0.18832582520322777}",3
0,delta0.35_unbalanced_rp0.02,0.35,False,0.02,physics+neural+xgboost+random_forest,4,14.165510277680793,12.196298851861426,"{""neural"": 0.17334455882371375, ""physics"": 0.6040299778327428, ""random_forest"": 0.0, ""xgboost"": 0.22262546334354344}",3
0,delta0.35_unbalanced_rp0.05,0.35,False,0.05,physics+neural,2,14.359957466598871,13.903058241658767,"{""neural"": 0.2536108098543378, ""physics"": 0.7463891901456622}",3
0,delta0.35_unbalanced_rp0.05,0.35,False,0.05,physics+neural+xgboost,3,14.165509761325701,12.1963019796162,"{""neural"": 0.17334467429946204, ""physics"": 0.604030055075115, ""xgboost"": 0.2226252706254231}",3
0,delta0.35_unbalanced_rp0.05,0.35,False,0.05,physics+neural+random_forest,3,14.266776215335799,13.217668065616715,"{""neural"": 0.19275966094484628, ""physics"": 0.6189145955664541, ""random_forest"": 0.18832574348869952}",3
0,delta0.35_unbalanced_rp0.05,0.35,False,0.05,physics+neural+xgboost+random_forest,4,14.165509769792116,12.196301862944344,"{""neural"": 0.17334473487257201, ""physics"": 0.6040300046033149, ""random_forest"": 3.419683766302424e-17, ""xgboost"": 0.22262526052411305}",3
1,delta0.15_balanced_rp0.02,0.15,True,0.02,physics+neural,2,18.772282727593087,19.74554401278496,"{""neural"": 0.9999999999999962, ""physics"": 3.774758283725533e-15}",4
1,delta0.15_balanced_rp0.02,0.15,True,0.02,physics+neural+xgboost,3,16.2719474520371,19.26638057909549,"{""neural"": 0.04044482035463497, ""physics"": 0.0, ""xgboost"": 0.9595551796453651}",4
1,delta0.15_balanced_rp0.02,0.15,True,0.02,physics+neural+random_forest,3,17.313499021912246,19.449054251000657,"{""neural"": 0.0, ""physics"": 0.0, ""random_forest"": 1.0}",4
1,delta0.15_balanced_rp0.02,0.15,True,0.02,physics+neural+xgboost+random_forest,4,16.12842237831488,19.07040125629512,"{""neural"": 0.0, ""physics"": 3.106588752316634e-14, ""random_forest"": 0.20477695545581734, ""xgboost"": 0.7952230445441516}",4
1,delta0.15_balanced_rp0.05,0.15,True,0.05,physics+neural,2,18.777291630924086,19.75292188127836,"{""neural"": 0.9999999999999952, ""physics"": 4.773959005888174e-15}",4
1,delta0.15_balanced_rp0.05,0.15,True,0.05,physics+neural+xgboost,3,16.272022757771577,19.275654126558365,"{""neural"": 0.03951867556908858, ""physics"": 1.2586774070927342e-15, ""xgboost"": 0.9604813244309102}",4
1,delta0.15_balanced_rp0.05,0.15,True,0.05,physics+neural+random_forest,3,17.313499021912264,19.449054251000632,"{""neural"": 0.0, ""physics"": 1.8263168755083626e-14, ""random_forest"": 0.9999999999999818}",4
1,delta0.15_balanced_rp0.05,0.15,True,0.05,physics+neural+xgboost+random_forest,4,16.12842237352324,19.070401215310696,"{""neural"": 0.0, ""physics"": 3.7685233165523997e-14, ""random_forest"": 0.20477698030303984, ""xgboost"": 0.7952230196969226}",4
1,delta0.15_unbalanced_rp0.02,0.15,False,0.02,physics+neural,2,18.740681883221292,20.27340268890063,"{""neural"": 0.9999999999999971, ""physics"": 2.886579864025407e-15}",19
1,delta0.15_unbalanced_rp0.02,0.15,False,0.02,physics+neural+xgboost,3,16.273114852914315,19.472860697146388,"{""neural"": 0.023086196454273056, ""physics"": 0.0, ""xgboost"": 0.9769138035457271}",19
1,delta0.15_unbalanced_rp0.02,0.15,False,0.02,physics+neural+random_forest,3,17.313499021912246,19.449054251000657,"{""neural"": 0.0, ""physics"": 0.0, ""random_forest"": 1.0}",19
1,delta0.15_unbalanced_rp0.02,0.15,False,0.02,physics+neural+xgboost+random_forest,4,16.128422379646555,19.070401267685227,"{""neural"": 0.0, ""physics"": 3.6062072399030306e-14, ""random_forest"": 0.20477694855041037, ""xgboost"": 0.7952230514495535}",19
1,delta0.15_unbalanced_rp0.05,0.15,False,0.05,physics+neural,2,18.766819125026633,20.313323518037798,"{""neural"": 0.9999999999999937, ""physics"": 6.328271240363392e-15}",19
1,delta0.15_unbalanced_rp0.05,0.15,False,0.05,physics+neural+xgboost,3,16.273157036241624,19.48357755843721,"{""neural"": 0.021903032192621175, ""physics"": 0.0, ""xgboost"": 0.9780969678073788}",19
1,delta0.15_unbalanced_rp0.05,0.15,False,0.05,physics+neural+random_forest,3,17.313499021912246,19.449054251000657,"{""neural"": 0.0, ""physics"": 0.0, ""random_forest"": 1.0}",19
1,delta0.15_unbalanced_rp0.05,0.15,False,0.05,physics+neural+xgboost+random_forest,4,16.12842236152575,19.070401112692377,"{""neural"": 0.0, ""physics"": 4.840649594418797e-14, ""random_forest"": 0.20477704251647394, ""xgboost"": 0.7952229574834776}",19
1,delta0.25_balanced_rp0.02,0.25,True,0.02,physics+neural,2,19.696906566889275,21.0559446934859,"{""neural"": 1.0, ""physics"": 5.551115123125783e-17}",3
1,delta0.25_balanced_rp0.02,0.25,True,0.02,physics+neural+xgboost,3,16.269053189360374,19.659283665227207,"{""neural"": 1.9040324872321438e-14, ""physics"": 1.0158540675320184e-14, ""xgboost"": 0.9999999999999708}",3
1,delta0.25_balanced_rp0.02,0.25,True,0.02,physics+neural+random_forest,3,17.313499021912623,19.449054250999794,"{""neural"": 1.6758816556716738e-13, ""physics"": 2.421951528219779e-13, ""random_forest"": 0.9999999999995903}",3
1,delta0.25_balanced_rp0.02,0.25,True,0.02,physics+neural+xgboost+random_forest,4,16.128422358058906,19.070401083040416,"{""neural"": 0.0, ""physics"": 0.0, ""random_forest"": 0.2047770604935787, ""xgboost"": 0.7952229395064212}",3
1,delta0.25_balanced_rp0.05,0.25,True,0.05,physics+neural,2,19.69689125152631,21.05593672633171,"{""neural"": 1.0, ""physics"": 0.0}",3
1,delta0.25_balanced_rp0.05,0.25,True,0.05,physics+neural+xgboost,3,16.26905318936035,19.6592836652273,"{""neural"": 0.0, ""physics"": 0.0, ""xgboost"": 1.0}",3
1,delta0.25_balanced_rp0.05,0.25,True,0.05,physics+neural+random_forest,3,17.313499021912246,19.449054251000657,"{""neural"": 0.0, ""physics"": 0.0, ""random_forest"": 1.0}",3
1,delta0.25_balanced_rp0.05,0.25,True,0.05,physics+neural+xgboost+random_forest,4,16.12842236399178,19.070401133785932,"{""neural"": 2.7608073298194054e-15, ""physics"": 2.5959442250976174e-15, ""random_forest"": 0.20477702972851303, ""xgboost"": 0.7952229702714817}",3
1,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural,2,19.106994307276896,20.015518780946735,"{""neural"": 0.9999999999999971, ""physics"": 2.886579864025407e-15}",5
1,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural+xgboost,3,16.26905318936078,19.659283665226283,"{""neural"": 1.571520691356909e-13, ""physics"": 2.9570790260891044e-13, ""xgboost"": 0.9999999999995473}",5
1,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural+random_forest,3,17.313499021912246,19.449054251000657,"{""neural"": 0.0, ""physics"": 0.0, ""random_forest"": 1.0}",5
1,delta0.25_unbalanced_rp0.02,0.25,False,0.02,physics+neural+xgboost+random_forest,4,16.12842236587624,19.070401149904086,"{""neural"": 1.4370515343561758e-15, ""physics"": 1.369041395548644e-14, ""random_forest"": 0.20477701995665026, ""xgboost"": 0.7952229800433347}",5
