stratum_type,stratum,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg
target_liquid_id,LIQ_0F4168490E,108,12.4659509283636,17.694578896711537,0.8325535110454714,8.661379734936254,26.467281269114654
target_liquid_id,LIQ_1BD1B94C09,88,11.668092161504019,15.829142116418991,0.8417947715182841,9.480049574344704,20.91509627845438
target_liquid_id,LIQ_53310FAFB3,15,16.34276190691173,18.40016704912651,0.8664092465986479,15.694305721301589,25.707987321093572
target_liquid_id,LIQ_5C0DC0DCD1,8,11.459939819801,11.728175022491596,0.9370240738046262,10.768088927804062,15.04155449933359
target_liquid_id,LIQ_6656B41AB7,115,17.15273319413031,22.748981151324404,0.6949369204389143,13.339315666212414,41.6820780579215
target_liquid_id,LIQ_B6950B5CB8,9,21.901232835976728,24.515449498108673,0.8341009659941944,15.044669935012,39.1191594904734
angle_bin,hydrophilic,136,17.98445329190277,23.842574639724102,-0.8269021089668207,13.319809443253188,40.29477928918244
angle_bin,hydrophobic,59,10.65373976510892,15.196198665972137,-2.196412056962356,8.811353443847125,20.28482658483464
angle_bin,neutral,123,11.663897178717631,15.220825443872378,0.17155243825626143,9.81559342515326,20.618938865072025
angle_bin,superhydrophobic,29,18.482068255239962,22.274770487455207,-20.766975739618758,13.423514807216094,40.508559949238716
solid_family,biomaterial,6,11.345133262439157,13.575906720567156,0.18491584923319837,10.722063520217613,20.191790316978867
solid_family,carbon_surface,18,16.661156373568083,20.770607880106944,-5.177082979230292,11.323019844924659,34.77618761309338
solid_family,cellulose,6,33.55231560702981,35.56301861783614,-64.06919704403498,35.51562148234749,46.312874147648714
solid_family,cellulose_ester,12,17.991618629574923,19.478806511547845,-0.15993740687435754,16.447170478019363,26.057953202331664
solid_family,coating,46,25.05213705183674,29.509393844257463,0.7231726384641539,23.693143952677566,44.428746001862024
solid_family,composite,48,11.282469784613832,14.372768868634843,0.23214564025063877,9.382425209763525,20.33234280899941
solid_family,glass,3,7.742164460473664,10.327956989116919,0.6732981697482896,5.02664174687796,14.713099982825081
solid_family,other,5,8.546967882458459,9.366764368188061,0.13943547228933684,8.239782030254602,12.646728849247875
solid_family,polymer,86,9.745637591187961,11.998750970107858,0.7891227016104914,8.04135581576191,17.7801399347553
solid_family,polymer_film,48,10.177739624046069,12.261782055932802,0.6789648999458788,8.4346499265597,17.484606098207355
solid_family,polymer_textile,48,16.7465655162787,24.632865807139872,0.7839066321758597,10.788095178808192,28.954044308602498
solid_family,textile_composite,21,17.59528706243196,25.216285573531998,0.35790183000835973,8.382737514962535,45.0450123870645
probe_count_bin,2,326,14.141372566045678,19.24515820858214,0.8069140988851284,10.47142450681297,30.15509143626902
probe_count_bin,3_or_more,21,20.714674747311342,24.955453278798608,0.6567047440688071,13.894327944217821,41.04638953908244
source_group_id,OPEN_CARBON_GLYCAN_2016,18,16.661156373568083,20.770607880106944,-5.177082979230292,11.323019844924659,34.77618761309338
source_group_id,OPEN_CELLULOSE_ESTER,12,17.991618629574923,19.478806511547845,-0.15993740687435754,16.447170478019363,26.057953202331664
source_group_id,OPEN_CROSS_MATERIAL_2026,5,8.546967882458459,9.366764368188061,0.13943547228933684,8.239782030254602,12.646728849247875
source_group_id,OPEN_FACEMASK_2023,21,17.59528706243196,25.216285573531998,0.35790183000835973,8.382737514962535,45.0450123870645
source_group_id,OPEN_PLA_FILMS_2021,48,10.177739624046069,12.261782055932802,0.6789648999458788,8.4346499265597,17.484606098207355
source_group_id,OPEN_POLYMER_SURFACES_2023,54,9.676461082523478,11.608432615327958,0.7579829198786412,8.04135581576191,17.49028344224532
source_group_id,OPEN_TEXTILE_ANTI_WETTING_2019,48,16.7465655162787,24.632865807139872,0.7839066321758597,10.788095178808192,28.954044308602498
source_group_id,SDX002,6,11.345133262439157,13.575906720567156,0.18491584923319837,10.722063520217613,20.191790316978867
source_group_id,SDX003,6,33.55231560702981,35.56301861783614,-64.06919704403498,35.51562148234749,46.312874147648714
source_group_id,SDX004,48,11.282469784613832,14.372768868634843,0.23214564025063877,9.382425209763525,20.33234280899941
source_group_id,SDX005,12,12.14979895240453,14.418661237693085,0.4769913470061876,12.411373601983932,21.845843292304167
source_group_id,SDX007,9,11.00462950002822,15.216015516499024,-0.20779802797838753,8.563943262431884,23.628344934704018
source_group_id,SDX008,12,6.765162874918989,8.257075611093644,0.904896203292875,5.26874115437356,13.482589187280977
source_group_id,SDX010,14,11.328486269145428,13.423641929857716,0.6544130914434674,12.349742612953111,21.99526957159749
source_group_id,SRC012,4,21.444973169706458,24.013950903505968,-18.914781480943486,18.504144277319853,33.805903985511215
source_group_id,SRC013,18,34.12929925968833,37.21009361882744,-19.524200434153073,31.301790984452,52.08569461469607
source_group_id,SRC017,8,32.06180239664346,34.70615020100486,-70.91145443431104,40.31657805092741,43.13664380062344
source_group_id,SRC018,4,12.499754607318081,13.198219534551399,-0.5357210454450105,14.527574505655508,15.534260325039071
