ablation,setting,split,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg
source_balance,false,nested_inner_oof,4,13.34518502035027,,,,
source_balance,true,nested_inner_oof,4,13.403707613479561,,,,
physics_summary,removed_from_neural,internal_test,34,29.605903832561058,33.2381009833531,0.7272086418573498,26.857139118780097,47.19700828244734
expert,remove_physics,internal_test,34,30.086166017195755,33.6590090508345,0.7202559527750555,28.970888900756876,52.7032119750976
expert,remove_neural,internal_test,34,29.605903832561065,33.2381009833531,0.7272086418573498,26.857139118780104,47.19700828244733
expert,remove_xgboost,internal_test,34,29.6861840977388,43.42641331772981,0.534343011516643,21.69999980926506,83.99015522003168
physics_summary,removed_from_neural,legacy_external,107,12.10806796972929,15.746015657340816,0.8870316074135106,10.162485453315483,22.91239666307226
expert,remove_physics,legacy_external,107,12.537919171453911,15.648922526779579,0.8884204842276042,10.485470294952378,24.29330467224122
expert,remove_neural,legacy_external,107,12.108067969729294,15.746015657340816,0.8870316074135106,10.162485453315497,22.91239666307225
expert,remove_xgboost,legacy_external,107,15.10200119909838,22.251329512845114,0.7744060120465872,10.449737548828068,32.046308898925744
physics_summary,removed_from_neural,prospective_open_external,206,13.315202088415099,18.398157667457447,0.7806946657117304,9.71512320891621,25.36524300707177
expert,remove_physics,prospective_open_external,206,13.438596134023847,18.393100121477868,0.7808152206480221,10.84212869033218,24.84840598106385
expert,remove_neural,prospective_open_external,206,13.315202088415097,18.39815766745744,0.7806946657117305,9.715123208916214,25.36524300707177
expert,remove_xgboost,prospective_open_external,206,18.560368246245144,25.801211522130224,0.5686987457510926,14.063503265380856,40.547283172607386
