seed,epoch,train_loss
7,1,73.7046766281128
7,2,73.53561019897461
7,3,72.04378700256348
7,4,69.86908149719238
7,5,69.93802452087402
7,6,67.13832187652588
7,7,68.14960861206055
7,8,66.79786396026611
7,9,63.87432861328125
7,10,62.73891830444336
19,1,75.259521484375
19,2,75.56361484527588
19,3,73.32506370544434
19,4,71.75893974304199
19,5,73.06202220916748
19,6,73.79075336456299
19,7,72.54968166351318
19,8,70.26117515563965
19,9,68.68025970458984
19,10,68.51513004302979
42,1,76.94021034240723
42,2,73.84157466888428
42,3,73.32992362976074
42,4,72.2453384399414
42,5,71.5878791809082
42,6,71.08069896697998
42,7,68.06968116760254
42,8,68.61524200439453
42,9,65.96236419677734
42,10,66.17990016937256
67,1,76.40592956542969
67,2,72.89465427398682
67,3,73.64383697509766
67,4,71.03353500366211
67,5,71.20427131652832
67,6,67.87973499298096
67,7,70.06713390350342
67,8,69.49427318572998
67,9,67.87881088256836
67,10,66.52618885040283
99,1,73.08681678771973
99,2,74.41705894470215
99,3,72.06107807159424
99,4,70.60213470458984
99,5,68.65280342102051
99,6,67.5539493560791
99,7,68.36491203308105
99,8,65.57616519927979
99,9,63.538818359375
99,10,64.07114315032959
