measurement_id,surface_group_id,source_group_id,liquid_id,contact_angle_deg,contact_angle_type,measurement_method,temperature_K,humidity_percent,pressure_atm,droplet_volume_uL,replicates_n,contact_angle_std_deg,contact_angle_min_deg,contact_angle_max_deg,quality_grade,conflict_flag,solid_total_surface_energy_mJ_m2,solid_dispersion_mJ_m2,solid_polar_mJ_m2,solid_surface_energy_source,solid_surface_energy_source_type,data_extraction_note,record_id,sfe_source_type,new_external_source_flag,target_eligible
CA0020,SFC_EF3937BBEA40,SRC023,LIQ_53310FAFB3,52.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,46.0,34.0,12.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0020,assumed_or_estimated,no,diagnostic_only
CA0021,SFC_B1C3F4195927,SRC023,LIQ_53310FAFB3,50.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,47.0,35.0,12.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0021,assumed_or_estimated,no,diagnostic_only
CA0022,SFC_3269642DA2B0,SRC023,LIQ_53310FAFB3,56.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,48.0,30.0,18.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0022,assumed_or_estimated,no,diagnostic_only
CA0023,SFC_258CBA406DD6,SRC023,LIQ_53310FAFB3,60.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,43.0,30.0,13.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0023,assumed_or_estimated,no,diagnostic_only
CA0024,SFC_DB683EF7A2C1,SRC023,LIQ_53310FAFB3,65.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,40.0,30.0,10.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0024,assumed_or_estimated,no,diagnostic_only
CA0025,SFC_EEA5FB824E7A,SRC023,LIQ_53310FAFB3,60.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,44.0,31.0,13.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0025,assumed_or_estimated,no,diagnostic_only
CA0026,SFC_E24B19E460DE,SRC023,LIQ_53310FAFB3,70.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,42.0,36.0,6.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0026,assumed_or_estimated,no,diagnostic_only
CA0027,SFC_782084083F60,SRC023,LIQ_53310FAFB3,58.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,44.0,28.0,16.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0027,assumed_or_estimated,no,diagnostic_only
CA0028,SFC_F08E28324066,SRC023,LIQ_53310FAFB3,78.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,36.0,30.0,6.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0028,assumed_or_estimated,no,diagnostic_only
CA0029,SFC_0C4EEBCACC30,SRC023,LIQ_53310FAFB3,82.0,static,sessile_drop,298.15,,1.0,,,,,,C_low,unclear_condition,33.0,25.0,8.0,project/default or same source when available,assumed_or_estimated,legacy literature-derived/project-internal source; no row-level DOI available,CA0029,assumed_or_estimated,no,diagnostic_only
