split,model,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg
internal_test,nnls_physics,34,29.686184097738828,43.426413317729846,0.5343430115166423,21.699999809265137,83.99015522003174
internal_test,direct_xgboost,34,35.89861660003662,41.84762099397444,0.5675859968651392,33.059246444702154,67.57386199951172
internal_test,physics_residual_xgboost,34,30.086166017195755,33.65900905083451,0.7202559527750554,28.970888900756837,52.70321197509766
internal_test,source_weighted_physics_residual_xgboost,34,41.51210066570955,47.19834626770234,0.44993784448054797,36.64924964904786,80.48446990966796
legacy_external,nnls_physics,107,15.10200119909839,22.25132951284514,0.7744060120465868,10.449737548828125,32.04630889892579
legacy_external,direct_xgboost,107,13.790163954618937,17.284835626953768,0.8638724277647646,10.539280700683591,30.895701904296875
legacy_external,physics_residual_xgboost,107,12.537919171453916,15.648922526779582,0.8884204842276041,10.485470294952393,24.29330467224122
legacy_external,source_weighted_physics_residual_xgboost,107,14.540897157784794,18.57411520185993,0.8428074855269989,11.759344863891599,31.60833221435547
prospective_open_external,nnls_physics,206,18.560368246245154,25.80121152213024,0.568698745751092,14.06350326538086,40.54728317260742
prospective_open_external,direct_xgboost,206,14.98983268012989,19.181786387820242,0.7616151653887451,12.253029251098633,28.38598823547363
prospective_open_external,physics_residual_xgboost,206,13.438596134023852,18.39310012147787,0.7808152206480221,10.84212869033217,24.84840598106384
prospective_open_external,source_weighted_physics_residual_xgboost,206,14.499184923512336,20.083133176413288,0.7386855299129044,11.022519683837892,31.443068408966063
