uncertainty_example,sample_id,source_group_id,surface_group_id,solid_family,target_liquid,non_target_probes,nnls_dispersion_mj_m2,nnls_polar_mj_m2,fit_status,theta_observed_deg,physics_prediction_deg,residual_xgboost_prediction_deg,fusion_prediction_deg,interval_lower_deg,interval_upper_deg,risk_level,abstain_flag,ensemble_std_deg,weighted_xgboost_residual_prediction
low,PA_EXT_45B7FC6A550A,OPEN_CROSS_MATERIAL_2026,SFC_CCA852C05DD9,other,water,formamide: 56.7 deg; diiodomethane: 43.2 deg; ethylene glycol: 57.0 deg; glycerol: 66.8 deg,38.159861084652825,1.475057945496583,interior_fit,72.8,88.243355,79.05122089385986,81.0397820302546,41.331692864623335,120.74787119588586,medium,no,0.2775052409215491,79.36750526428223
medium,PA_EXT_C0A69AE67463,OPEN_PLA_FILMS_2021,SFC_B1D8AACA85B5,polymer_film,formamide,water: 76.0 deg; diiodomethane: 48.0 deg,35.38216165976543,5.959083636311379,interior_fit,64.0,49.620243,55.08814353942872,53.90525668417463,14.197167518543369,93.6133458498059,medium,no,0.4774735983427681,55.37770528793335
high,PA_EXT_A3F4030D6CB1,OPEN_POLYMER_SURFACES_2023,SFC_4CBC1B4A127C,polymer,diiodomethane,formamide: 85.0 deg; water: 102.0 deg,16.832269698055832,1.835877047179431,interior_fit,53.0,81.30065,65.1365484237671,68.63337599607159,28.925286830440328,108.34146516170286,medium,no,0.8887743163563173,63.666194152832034
