source_group_id,model,n,mae_deg,rmse_deg,r2,medae_deg,p90ae_deg
SRC001,nnls_physics,30,12.501940290133158,15.417844391823845,0.6451288834910813,11.31126880645752,22.61813182830811
SRC002,nnls_physics,4,42.39336395263672,50.94885075488722,-0.4530004999965138,27.4261474609375,72.51409454345705
SRC004,nnls_physics,45,3.2208153618706596,4.477089845891526,0.9453390836286018,2.3729476928710938,6.585359191894532
SRC014,nnls_physics,27,8.810506043610749,10.751861717860562,0.6119931361246738,7.72357177734375,19.406783294677734
SRC016,nnls_physics,18,12.774076143900553,18.36454324910146,0.3676606736133382,7.8542633056640625,30.777822494506836
SRC019,nnls_physics,60,22.029430452982584,26.080673849983555,-1.4272480831910892,17.04251480102539,43.12645797729492
SRC020,nnls_physics,24,34.02064021428426,41.53412037870695,-1.3467473445446174,34.26256847381592,60.36147327423096
SRC021,nnls_physics,32,19.520734071731567,28.529053382440043,0.6569356600870982,11.140270233154297,57.417477607727065
SRC001,global_mean_residual,30,10.124662475557557,14.574489593971444,0.6828899211662673,6.090633673043477,18.87914810719945
SRC002,global_mean_residual,4,45.242064291011474,50.9071351666616,-0.4506221163597839,33.12354813768701,70.23513427275724
SRC004,global_mean_residual,45,6.362746900703828,7.106489173245628,0.8622804845737245,6.59832088977862,9.995876431770808
SRC014,global_mean_residual,27,10.79651765131241,13.687062747443111,0.371228882114947,8.894709199527057,22.93013705597238
SRC016,global_mean_residual,18,13.87044796381925,18.723130958596403,0.34272535458615405,10.135225296020508,32.96649033113106
SRC019,global_mean_residual,60,20.607242130322582,24.68188618133657,-1.173868357495881,18.981660842895508,40.135639612376686
SRC020,global_mean_residual,24,32.18788808947544,39.32224848482869,-1.1034538454387501,35.95433966594714,56.97793088996852
SRC021,global_mean_residual,32,20.20616245447085,28.464677603118364,0.6584821619296403,14.744844823789144,56.30661804653132
SRC001,liquid_mean_residual,30,9.681005403308978,12.724086873829227,0.7583000348318928,7.642140937683372,15.130464178897814
SRC002,liquid_mean_residual,4,42.26836380183754,49.358208225433955,-0.3636902990345905,31.628218624682617,70.23513427275724
SRC004,liquid_mean_residual,45,10.085685931981963,12.117559591979052,0.5995801331692785,7.41904178647161,20.93007515671335
SRC014,liquid_mean_residual,27,14.502761207873615,19.422885048286197,-0.26619194888155695,10.12714179138726,38.025044768950764
SRC016,liquid_mean_residual,18,15.285565875991475,18.91870611842041,0.32892232451745884,13.559234137901598,31.833013203751463
SRC019,liquid_mean_residual,60,17.30743071575646,20.488113395354695,-0.4978919570695355,15.14973102813158,34.65523547511003
SRC020,liquid_mean_residual,24,29.156646967711367,35.565968371452776,-0.7207808980356682,32.60693673034131,54.50807981756787
SRC021,liquid_mean_residual,32,23.06376093133737,31.15680300651406,0.5908273179176802,17.68079258542059,57.012540540401226
SRC001,ridge_residual,30,10.633539740244547,14.171536989367214,0.7001823153497526,8.156599760055542,16.15518188476563
